street,coordinates
"['Силикатная улица', 'Большая Заливная улица']","[(55.9234177, 54.743684), (55.9233224, 54.7437481), (55.923299, 54.7437909), (55.923297, 54.7438361), (55.9232971, 54.743875), (55.9233655, 54.7439482), (55.9237611, 54.7444325), (55.9238154, 54.7445692), (55.9237684, 54.7447269), (55.923594, 54.7448372), (55.9233673, 54.7448866), (55.9233331, 54.744894), (55.9225033, 54.7450002), (55.9220876, 54.7450682), (55.9220326, 54.7450772), (55.9218868, 54.7451001), (55.9216334, 54.7451422)]"
Большая Шерстомойная улица,"[(55.9234177, 54.743684), (55.9235717, 54.7436448), (55.9238885, 54.7435667), (55.9239737, 54.7435508)]"
Выгонная улица,"[(55.9186809, 54.7401294), (55.9159152, 54.7411877)]"
Большая Заливная улица,"[(55.9186809, 54.7401294), (55.919405, 54.7407605)]"
Выгонная улица,"[(55.9186809, 54.7401294), (55.9196097, 54.7397819), (55.9202785, 54.7395242), (55.9208156, 54.7393285), (55.9211576, 54.7391746)]"
Большая Заливная улица,"[(55.9186809, 54.7401294), (55.9186431, 54.7400954), (55.9180207, 54.7394693)]"
улица Нехаева,"[(55.9215583, 54.7384941), (55.9211758, 54.7380876)]"
Выгонная улица,"[(55.9215583, 54.7384941), (55.9215878, 54.7385845), (55.9215922, 54.7386715), (55.9215678, 54.7387609), (55.9214895, 54.7388794), (55.9213519, 54.7390038), (55.9211576, 54.7391746)]"
Выгонная улица,"[(55.9215583, 54.7384941), (55.9216314, 54.7384686), (55.9218482, 54.7383927), (55.9222363, 54.737954), (55.9225857, 54.7375198), (55.9230398, 54.7373153), (55.9232708, 54.7374451), (55.9251176, 54.7383899), (55.9252457, 54.7384554)]"
Карьерная улица,"[(55.9090012, 54.726104), (55.9101176, 54.7259337)]"
улица Марата,"[(55.9090012, 54.726104), (55.909186, 54.7265534), (55.9098326, 54.7271965), (55.9107397, 54.7279407), (55.9113908, 54.728532), (55.9119815, 54.7289221)]"
Карьерная улица,"[(55.9090012, 54.726104), (55.9085133, 54.7261927), (55.9081781, 54.726296)]"
Карьерная улица,"[(55.9081161, 54.7263173), (55.9052686, 54.7272159)]"
Карьерная улица,"[(55.9081161, 54.7263173), (55.9081781, 54.726296)]"
Перевалочная улица,"[(55.9081161, 54.7263173), (55.9079698, 54.7267156), (55.9078842, 54.7270684), (55.9077932, 54.7275986), (55.9076201, 54.7280399)]"
,"[(55.9081161, 54.7263173), (55.907875, 54.7261443), (55.9076867, 54.7259454), (55.9076218, 54.7258711)]"
Перевалочная улица,"[(55.9076201, 54.7280399), (55.9064933, 54.7290034), (55.9059113, 54.729534)]"
Перевалочная улица,"[(55.9076201, 54.7280399), (55.9077932, 54.7275986), (55.9078842, 54.7270684), (55.9079698, 54.7267156), (55.9081161, 54.7263173)]"
Заозёрная улица,"[(55.9076201, 54.7280399), (55.9080253, 54.7284382), (55.9083837, 54.7288479), (55.9085351, 54.7291263)]"
2-я Карьерная улица,"[(55.9076201, 54.7280399), (55.9070093, 54.7278309), (55.9064714, 54.7275963), (55.9059342, 54.7277213)]"
улица Деревенская Переправа,"[(55.9138515, 54.7458995), (55.9143691, 54.7452914)]"
улица Деревенская Переправа,"[(55.9138515, 54.7458995), (55.9131638, 54.7466177), (55.9127615, 54.746869), (55.9121786, 54.7471953)]"
Заозёрная улица,"[(55.9138515, 54.7458995), (55.9137172, 54.745904), (55.9135933, 54.7458689), (55.9134748, 54.7458135), (55.9131787, 54.7456189), (55.9125609, 54.7452065), (55.9124652, 54.745141)]"
улица Деревенская Переправа,"[(55.9149635, 54.7448037), (55.9148747, 54.744821), (55.9146486, 54.7449555), (55.9143691, 54.7452914)]"
Рабочая улица,"[(55.9149635, 54.7448037), (55.915071, 54.7448086), (55.915183, 54.7448548), (55.9156573, 54.7453941), (55.9157265, 54.7454712)]"
Рабочая улица,"[(55.9149635, 54.7448037), (55.9149852, 54.7446864), (55.9149513, 54.74463), (55.9147023, 54.7443052)]"
Краснодонская улица,"[(55.9556466, 54.7411401), (55.9558048, 54.7411048), (55.9562571, 54.7409969), (55.957064, 54.7408078), (55.9571215, 54.7407942), (55.9579352, 54.7406043), (55.9588463, 54.7403915), (55.9590811, 54.7403359), (55.9600236, 54.7401406), (55.9600927, 54.7401263), (55.9603235, 54.740077)]"
улица Ленина,"[(55.9556466, 54.7411401), (55.9560799, 54.7417692), (55.9561209, 54.7418327), (55.9563623, 54.7421852), (55.9565039, 54.742391), (55.9566656, 54.7426261), (55.9566914, 54.7426527)]"
улица Ленина,"[(55.9556466, 54.7411401), (55.9556232, 54.7411052), (55.9552124, 54.7404934), (55.95501, 54.7401864), (55.9545485, 54.7394835), (55.9544205, 54.7392792), (55.9538892, 54.7384579), (55.9536933, 54.7381489), (55.9536263, 54.7380531)]"
улица Пархоменко,"[(55.9661795, 54.738784), (55.9665282, 54.739607)]"
Краснодонская улица,"[(55.9661795, 54.738784), (55.9658552, 54.7388538), (55.9652583, 54.7389822), (55.9645226, 54.7391468), (55.9640107, 54.7392505), (55.9636422, 54.7393422), (55.9632402, 54.7394316), (55.9626608, 54.7395633), (55.961993, 54.7397121), (55.9611208, 54.7399138), (55.9606355, 54.7400116), (55.9603235, 54.740077)]"
улица Пархоменко,"[(55.9661795, 54.738784), (55.966069, 54.738515), (55.9657455, 54.7377567)]"
улица Ленина,"[(55.9566914, 54.7426527), (55.9567531, 54.7429139)]"
бульвар Ибрагимова,"[(55.9566914, 54.7426527), (55.9568616, 54.7426138), (55.9583838, 54.7422692), (55.9585103, 54.7422378), (55.9599042, 54.7419399), (55.9607641, 54.7417547), (55.9610647, 54.7416846)]"
улица Ленина,"[(55.9566914, 54.7426527), (55.9566656, 54.7426261), (55.9565039, 54.742391), (55.9563623, 54.7421852), (55.9561209, 54.7418327), (55.9560799, 54.7417692), (55.9556466, 54.7411401)]"
улица Ленина,"[(55.9566914, 54.7426527), (55.956815, 54.7427742), (55.956921, 54.7428793)]"
Большая Гражданская улица,"[(55.9733675, 54.7389055), (55.9736091, 54.7392466)]"
Большая Гражданская улица,"[(55.9733675, 54.7389055), (55.9732575, 54.7387617), (55.9732243, 54.7387188), (55.9727507, 54.7380603), (55.972368, 54.7375331), (55.972363, 54.7373626)]"
улица Пушкина,"[(55.9504733, 54.7209516), (55.9502754, 54.7209888), (55.9497461, 54.7210884), (55.9486244, 54.7212994), (55.9472548, 54.7215506), (55.9471392, 54.7215674)]"
улица Цюрупы,"[(55.9504733, 54.7209516), (55.9505097, 54.7210255), (55.9507707, 54.7216124), (55.9512918, 54.7227574), (55.9513889, 54.7229778), (55.9515375, 54.7233182), (55.9516168, 54.7234743)]"
улица Пушкина,"[(55.9504733, 54.7209516), (55.9506449, 54.7208761), (55.9512523, 54.7206226), (55.9516348, 54.7204651), (55.9516696, 54.7204508), (55.9535867, 54.7196617), (55.9548908, 54.7191249), (55.9549796, 54.7190883)]"
улица Цюрупы,"[(55.9504733, 54.7209516), (55.9504084, 54.7208016), (55.9502339, 54.7204287), (55.9501401, 54.7202257), (55.9499182, 54.7197461), (55.9498733, 54.719649), (55.9493914, 54.7186074), (55.9493503, 54.7185186)]"
Большая Гражданская улица,"[(55.9736091, 54.7392466), (55.9733675, 54.7389055)]"
бульвар Ибрагимова,"[(55.9736091, 54.7392466), (55.9734042, 54.739251), (55.9733513, 54.7392529), (55.9733331, 54.7392536), (55.9731659, 54.739268), (55.9731356, 54.7392726), (55.972773, 54.7393439), (55.9707434, 54.7397905), (55.9701433, 54.7399242), (55.9696307, 54.7400384), (55.9695953, 54.7400463), (55.9670805, 54.7406102), (55.9669623, 54.7406324)]"
Большая Гражданская улица,"[(55.9736091, 54.7392466), (55.9736448, 54.7393097), (55.9737832, 54.7395064), (55.9739157, 54.7397144), (55.9739681, 54.7397913), (55.9739907, 54.7398244), (55.9740632, 54.7399309), (55.9743117, 54.7402956), (55.9743348, 54.7403295), (55.9744524, 54.7405021), (55.9749305, 54.7412107), (55.974982, 54.7412872)]"
улица Ленина,"[(55.9567531, 54.7429139), (55.9566914, 54.7426527)]"
бульвар Ибрагимова,"[(55.9567531, 54.7429139), (55.9566649, 54.742938), (55.955469, 54.7432016), (55.9552998, 54.7432393)]"
,"[(55.9792092, 54.7212184), (55.9794873, 54.7212003), (55.9795482, 54.7211912), (55.9795857, 54.7211807), (55.9796085, 54.7211699), (55.9796239, 54.7211598), (55.9796373, 54.7211433), (55.979647, 54.7211258), (55.9796541, 54.7211078), (55.9796542, 54.7210918), (55.9796492, 54.7210679), (55.9796355, 54.7210481), (55.9795901, 54.721016), (55.9795182, 54.7209768), (55.9792415, 54.7208668)]"
,"[(55.9792092, 54.7212184), (55.9776618, 54.7209819), (55.977555, 54.7209608), (55.9774141, 54.72093), (55.9772569, 54.7208966)]"
,"[(55.9811478, 54.7213999), (55.9803804, 54.7212712), (55.97995, 54.7212612), (55.9792092, 54.7212184)]"
проспект Салавата Юлаева,"[(55.9811478, 54.7213999), (55.9806365, 54.7211906), (55.9800953, 54.7210515), (55.9792415, 54.7208668)]"
,"[(55.9778224, 54.7199834), (55.9777271, 54.7201826), (55.9774146, 54.7207489), (55.9773443, 54.7208173), (55.9772569, 54.7208966)]"
,"[(55.9778224, 54.7199834), (55.9774017, 54.7199201), (55.9765742, 54.7197963), (55.9762716, 54.7197511)]"
Бакалинская улица,"[(55.9778224, 54.7199834), (55.9778597, 54.7199096), (55.9781976, 54.7192808), (55.9782625, 54.7191855), (55.9783667, 54.7190625), (55.9785723, 54.7188789), (55.9788149, 54.7187593), (55.9790656, 54.7186851), (55.9793133, 54.7186521), (55.9796335, 54.7186428), (55.9798559, 54.7186433)]"
,"[(55.9778224, 54.7199834), (55.978414, 54.7200814), (55.9795525, 54.72028), (55.9796239, 54.720297)]"
,"[(56.1507915, 54.8058844), (56.1512303, 54.8050848), (56.1512565, 54.8049446), (56.1510758, 54.8043828), (56.150992, 54.8041585), (56.1509635, 54.8039369), (56.1509934, 54.8034138), (56.1510231, 54.8033636), (56.151249, 54.8029823), (56.1515712, 54.8026772), (56.1519023, 54.8024404), (56.1521178, 54.8020991), (56.1522642, 54.8018492), (56.1523184, 54.8016503), (56.152204, 54.801566), (56.1519101, 54.801518)]"
,"[(56.1507915, 54.8058844), (56.1509538, 54.8059207), (56.1524063, 54.8062452), (56.1525495, 54.8062771), (56.1530712, 54.8063937)]"
,"[(56.1507915, 54.8058844), (56.1505949, 54.8058419), (56.1499211, 54.805696), (56.1492893, 54.8055611), (56.1486973, 54.8054261)]"
,"[(56.1526733, 54.8071322), (56.1527111, 54.8069987), (56.1530712, 54.8063937)]"
,"[(56.1526733, 54.8071322), (56.1523622, 54.8068316), (56.15195, 54.80656), (56.1507907, 54.8060217)]"
Сосновская улица,"[(56.1526733, 54.8071322), (56.15299, 54.8075833), (56.1532769, 54.8077576), (56.1539204, 54.8079843), (56.1559759, 54.8085551), (56.1563511, 54.8086558), (56.156554, 54.8087666), (56.1566207, 54.8088528)]"
,"[(56.1604603, 54.8110985), (56.1609414, 54.8109218), (56.1617246, 54.810819), (56.1640184, 54.8104709)]"
Сосновская улица,"[(56.1604603, 54.8110985), (56.1607498, 54.8113116), (56.161111, 54.8115645)]"
Сосновская улица,"[(56.1604603, 54.8110985), (56.1599267, 54.8107413), (56.1598417, 54.8106913)]"
,"[(56.20517, 54.79952), (56.2088086, 54.7988542), (56.21005, 54.7985908)]"
,"[(56.20517, 54.79952), (56.20126, 54.80045), (56.1967591, 54.8015514), (56.1959162, 54.8020793), (56.1946, 54.80315), (56.19274, 54.80596), (56.19184, 54.80684), (56.19061, 54.80739), (56.1886619, 54.808042)]"
,"[(56.20517, 54.79952), (56.2058845, 54.8005826), (56.2062754, 54.8014612), (56.2087664, 54.8034205), (56.2089075, 54.8036652), (56.2087639, 54.8041882), (56.208657, 54.8043326), (56.2080692, 54.8044648), (56.2078721, 54.8047347), (56.2078421, 54.8048008)]"
,"[(56.21005, 54.7985908), (56.2102711, 54.7985296), (56.2104374, 54.7984584), (56.2106654, 54.798302), (56.2108076, 54.7981461), (56.2108666, 54.7980379), (56.2109293, 54.7978766), (56.2109631, 54.7976946), (56.2109404, 54.7975066), (56.2108618, 54.7973453), (56.2107755, 54.7971918), (56.2095, 54.795527), (56.2091347, 54.7949006), (56.2090722, 54.7947939), (56.2089863, 54.794715), (56.2088495, 54.7946425)]"
,"[(56.21005, 54.7985908), (56.2088086, 54.7988542), (56.20517, 54.79952)]"
,"[(56.21005, 54.7985908), (56.2118688, 54.7982257), (56.21487, 54.7977477), (56.2164694, 54.7976794), (56.2183057, 54.7978387), (56.2202604, 54.7978729), (56.2217216, 54.7976111), (56.2241897, 54.7968712), (56.2257693, 54.7962224), (56.22746, 54.7954764), (56.2276575, 54.7950894), (56.2272231, 54.7945886), (56.2261371, 54.7936096)]"
,"[(56.2088495, 54.7946425), (56.2109303, 54.7929752), (56.2118241, 54.7922575), (56.2138078, 54.7906884), (56.2157719, 54.7891566), (56.2198265, 54.7859093), (56.220541, 54.7853358), (56.2215837, 54.7844849), (56.2240306, 54.7825461)]"
,"[(56.2088495, 54.7946425), (56.2089863, 54.794715), (56.2090722, 54.7947939), (56.2091347, 54.7949006), (56.2095, 54.795527), (56.2107755, 54.7971918), (56.2108618, 54.7973453), (56.2109404, 54.7975066), (56.2109631, 54.7976946), (56.2109293, 54.7978766), (56.2108666, 54.7980379), (56.2108076, 54.7981461), (56.2106654, 54.798302), (56.2104374, 54.7984584), (56.2102711, 54.7985296), (56.21005, 54.7985908)]"
,"[(56.2088495, 54.7946425), (56.2069624, 54.796127), (56.2057517, 54.7971038), (56.2047205, 54.7978167), (56.2036489, 54.7984299), (56.2026846, 54.7988745), (56.2014402, 54.7993717), (56.2004177, 54.7996884), (56.1939235, 54.801545), (56.1913282, 54.8022976), (56.186336, 54.8037279), (56.1832333, 54.8046158)]"
,"[(56.2329379, 54.7769686), (56.234677, 54.7766034)]"
,"[(56.2329379, 54.7769686), (56.231034, 54.7774708)]"
Прямая улица,"[(56.2329379, 54.7769686), (56.2331714, 54.7771966), (56.2394474, 54.7811683)]"
,"[(55.9327072, 54.6480476), (55.9327287, 54.6482998), (55.9329174, 54.6504347), (55.932947, 54.651099), (55.9329681, 54.6515722), (55.9329809, 54.6518598), (55.9329822, 54.6518893), (55.9330206, 54.6527523), (55.9332862, 54.6556525), (55.93337, 54.6570792)]"
,"[(55.9320374, 54.6442363), (55.9319121, 54.6438156), (55.9315613, 54.6427447), (55.9311229, 54.6413725), (55.9306421, 54.6397141)]"
,"[(56.0819485, 54.6557839), (56.0820188, 54.6548713), (56.0822546, 54.6535208), (56.082252, 54.6534605), (56.0822386, 54.653383), (56.0821951, 54.6532781), (56.0820964, 54.6531564), (56.0819765, 54.653033), (56.0818143, 54.6528827), (56.0816565, 54.6527498), (56.0814756, 54.6526088), (56.0813025, 54.6524923), (56.0808271, 54.6521942), (56.0802874, 54.651846), (56.079835, 54.6515406), (56.0794088, 54.6512679), (56.0791582, 54.6511206), (56.0789368, 54.6510088), (56.0786999, 54.6509096), (56.0785103, 54.6508443), (56.0783404, 54.6507957), (56.0781643, 54.6507589), (56.0779121, 54.6507201), (56.0773766, 54.6506521)]"
Нагаевское шоссе,"[(56.0819485, 54.6557839), (56.082099, 54.6548757), (56.0826322, 54.6517315)]"
Нагаевское шоссе,"[(56.0766078, 54.6633069), (56.0756016, 54.6637754), (56.0745939, 54.6641479), (56.0737751, 54.6644228), (56.0726234, 54.6647814)]"
,"[(56.0766078, 54.6633069), (56.0764245, 54.6634569), (56.0751683, 54.6640151), (56.0749894, 54.6641233), (56.0749406, 54.6641844), (56.074904, 54.6642644), (56.0749162, 54.6643443), (56.0750097, 54.6644478), (56.0751949, 54.6645771)]"
,"[(55.9648332, 54.7087583), (55.9647946, 54.7090438), (55.9647987, 54.7091839), (55.9648297, 54.7093248), (55.9648784, 54.7094729)]"
улица Пугачёва,"[(55.9648332, 54.7087583), (55.9649294, 54.708605), (55.9651612, 54.7082701), (55.9653457, 54.7080268), (55.9655865, 54.7076891)]"
,"[(55.9306421, 54.6397141), (55.9300113, 54.6377076), (55.9299383, 54.6374781)]"
,"[(55.9143487, 54.5715493), (55.9132341, 54.5728848), (55.9126816, 54.5736854)]"
,"[(55.9143487, 54.5715493), (55.9141372, 54.5721083), (55.9146055, 54.5730902), (55.9147169, 54.5735207)]"
,"[(55.9077389, 54.5728755), (55.9076843, 54.572858)]"
,"[(55.9077389, 54.5728755), (55.9114481, 54.5741269), (55.9127296, 54.5745419), (55.9133999, 54.5746507), (55.9138356, 54.5746131), (55.9142187, 54.5744743), (55.9144426, 54.5742823), (55.9146141, 54.574021), (55.9147033, 54.5736882), (55.9147169, 54.5735207)]"
,"[(55.9077389, 54.5728755), (55.9079352, 54.5728313), (55.9080479, 54.5728359), (55.9081659, 54.5728546), (55.9088632, 54.573021), (55.9111007, 54.5736105), (55.9113409, 54.573652), (55.9115746, 54.5736574), (55.9118707, 54.5736167), (55.9123151, 54.5734567), (55.9126089, 54.573277)]"
,"[(56.018721, 54.7508561), (56.0189233, 54.7510215), (56.019129, 54.7512041), (56.0193298, 54.7513708), (56.0196073, 54.7516182), (56.0198393, 54.7518192), (56.0201138, 54.7520264)]"
,"[(56.018721, 54.7508561), (56.0183693, 54.7505546), (56.0180743, 54.7503472), (56.017943, 54.7502562)]"
Владивостокская улица,"[(55.9882251, 54.7292852), (55.9877319, 54.7301529)]"
Владивостокская улица,"[(55.9882251, 54.7292852), (55.9884209, 54.7292182), (55.988694, 54.7291703), (55.9890569, 54.7291446), (55.9904939, 54.7290851), (55.9919922, 54.7290093), (55.9933593, 54.7289726), (55.99351, 54.7289625)]"
Владивостокская улица,"[(55.9882251, 54.7292852), (55.987769, 54.7284207), (55.9875931, 54.7280707), (55.9874051, 54.7276805), (55.987313, 54.7274919), (55.9872393, 54.727409), (55.9871126, 54.7271508), (55.9872073, 54.7269072), (55.987633, 54.7266285), (55.9885654, 54.7260552), (55.9875041, 54.7254668), (55.9872637, 54.7253225), (55.9872587, 54.7251836)]"
Владивостокская улица,"[(55.99351, 54.7289625), (55.993652, 54.7289495), (55.9937992, 54.7289624)]"
Владивостокская улица,"[(55.99351, 54.7289625), (55.9933593, 54.7289726), (55.9919922, 54.7290093), (55.9904939, 54.7290851), (55.9890569, 54.7291446), (55.988694, 54.7291703), (55.9884209, 54.7292182), (55.9882251, 54.7292852)]"
,"[(55.99351, 54.7289625), (55.9935943, 54.7289163), (55.9936053, 54.7288577), (55.9935796, 54.7287986)]"
,"[(55.9935796, 54.7287986), (55.9932007, 54.7285703), (55.9929327, 54.7284086), (55.9927868, 54.7282981), (55.9918767, 54.7274781), (55.9913213, 54.7269969)]"
улица Карла Маркса,"[(55.941464, 54.7270584), (55.9415171, 54.727171), (55.9416013, 54.7273493), (55.9418772, 54.7279339), (55.9420794, 54.7283624), (55.9420887, 54.728382), (55.9421383, 54.7284872)]"
улица Карла Маркса,"[(55.941464, 54.7270584), (55.9414018, 54.7269116), (55.9412768, 54.7266278), (55.9411401, 54.7263125), (55.9407369, 54.7254132), (55.9406959, 54.7253301)]"
Коммунистическая улица,"[(55.941464, 54.7270584), (55.9416947, 54.7270198), (55.9430264, 54.7268078), (55.9443132, 54.7266015), (55.9444974, 54.7265719)]"
Коммунистическая улица,"[(55.941464, 54.7270584), (55.9412188, 54.7271009), (55.9406929, 54.7271906), (55.9401367, 54.7272884), (55.9400617, 54.7273014), (55.9398587, 54.7273365), (55.9386706, 54.7275424), (55.9385639, 54.7275609)]"
улица Карла Маркса,"[(55.9508589, 54.7440116), (55.9509764, 54.7441993)]"
бульвар Ибрагимова,"[(55.9508589, 54.7440116), (55.9510201, 54.7439642), (55.9522475, 54.7436908)]"
улица Карла Маркса,"[(55.9508589, 54.7440116), (55.9507872, 54.7439033), (55.950601, 54.7436101), (55.9498297, 54.7424111)]"
улица Карла Маркса,"[(55.9381916, 54.7201527), (55.9382266, 54.7202456)]"
улица Карла Маркса,"[(55.9381916, 54.7201527), (55.9381624, 54.7200611), (55.937118, 54.7178679), (55.9370769, 54.7177693)]"
улица Заки Валиди,"[(55.9381916, 54.7201527), (55.9383751, 54.7201169), (55.9404616, 54.7197985), (55.9409979, 54.7197162), (55.9412467, 54.7196779)]"
улица Пушкина,"[(55.9335875, 54.7238207), (55.9337037, 54.7238019), (55.9355937, 54.7234878), (55.9359531, 54.7234271), (55.9363257, 54.7233637), (55.9364868, 54.7233405)]"
улица Аксакова,"[(55.9335875, 54.7238207), (55.9335347, 54.7237206), (55.9332374, 54.7231125), (55.9331114, 54.7228321), (55.9326294, 54.7218297), (55.9323954, 54.721355), (55.9323591, 54.7212863)]"
улица Аксакова,"[(55.9335875, 54.7238207), (55.933636, 54.7239255), (55.93397, 54.7246482), (55.9341298, 54.7249937), (55.93443, 54.7256431), (55.9346679, 54.7261678), (55.9347192, 54.7262851)]"
улица Пушкина,"[(55.9335875, 54.7238207), (55.9333558, 54.7238634), (55.9326964, 54.7239721), (55.9320595, 54.7240813), (55.9319058, 54.7241038), (55.9307482, 54.7242922), (55.9290779, 54.7245693), (55.928317, 54.7246978), (55.927895, 54.724766), (55.9276748, 54.7248035)]"
Коммунистическая улица,"[(55.9354984, 54.7280919), (55.9353509, 54.7281175), (55.9327594, 54.7285665), (55.9325867, 54.7285964)]"
Коммунистическая улица,"[(55.9354984, 54.7280919), (55.9355535, 54.7280824), (55.9355878, 54.7280764), (55.935693, 54.7280582)]"
улица Аксакова,"[(55.9354984, 54.7280919), (55.9354532, 54.7279892), (55.934733, 54.7264172)]"
улица Карла Маркса,"[(55.9426289, 54.7295267), (55.9425699, 54.7294017), (55.9422013, 54.7286207), (55.9421519, 54.728516), (55.9421383, 54.7284872)]"
улица Чернышевского,"[(55.9426289, 54.7295267), (55.9424414, 54.7295564), (55.9420568, 54.7296173), (55.9410019, 54.7297845), (55.9407725, 54.7298208), (55.9398726, 54.7299634), (55.9397163, 54.7299882)]"
улица Карла Маркса,"[(55.9426289, 54.7295267), (55.9426779, 54.729629), (55.9427615, 54.7298004), (55.9430462, 54.7303983), (55.9433582, 54.7310497), (55.943384, 54.73114), (55.9434025, 54.7312191), (55.943393, 54.7312998), (55.9433682, 54.7313629)]"
улица Ленина,"[(55.9485787, 54.7285496), (55.948633, 54.7286453), (55.9490026, 54.7293807), (55.9496701, 54.7307523), (55.949737, 54.7309234), (55.9497969, 54.7310673)]"
улица Чернышевского,"[(55.9485787, 54.7285496), (55.948361, 54.7285856), (55.9479746, 54.7286494), (55.9475756, 54.7287154), (55.946885, 54.7288295), (55.9457916, 54.7290102), (55.9456395, 54.7290361)]"
улица Гоголя,"[(55.9397163, 54.7299882), (55.9397802, 54.7301257), (55.9402047, 54.7310173), (55.9403506, 54.7313271), (55.9404787, 54.7315992), (55.9408431, 54.732373), (55.9408977, 54.732489)]"
улица Чернышевского,"[(55.9397163, 54.7299882), (55.9395072, 54.7300234), (55.938446, 54.730202), (55.9384042, 54.730209), (55.9377028, 54.730327), (55.9376712, 54.7303323), (55.9369854, 54.7304477), (55.9368519, 54.7304702)]"
Ростовская улица,"[(56.0189799, 54.7571338), (56.0187389, 54.7569416), (56.0181172, 54.7564457), (56.0173943, 54.7558692), (56.0170863, 54.7556251), (56.017016, 54.7555674)]"
улица Шафиева,"[(56.0189799, 54.7571338), (56.0201267, 54.7566265), (56.0202569, 54.7565689), (56.0203076, 54.7564483), (56.0203723, 54.7562899)]"
улица Шафиева,"[(56.0189799, 54.7571338), (56.0189248, 54.757158), (56.018822, 54.7572029), (56.0171362, 54.7579206), (56.0170982, 54.7579375), (56.0169251, 54.758009)]"
Комсомольская улица,"[(55.9977138, 54.7445843), (55.9978748, 54.7447382), (55.9983321, 54.7451608), (55.9989347, 54.7457254), (55.9990512, 54.7458375), (55.9992957, 54.7460722), (56.0001006, 54.7468311)]"
Комсомольская улица,"[(55.9977138, 54.7445843), (55.9976235, 54.7443898), (55.9973209, 54.7441121), (55.9972638, 54.7440597), (55.996566, 54.7434194)]"
улица им. города Галле,"[(55.9977138, 54.7445843), (55.9974492, 54.7446956), (55.9970837, 54.7448493), (55.9966457, 54.7450335), (55.9957736, 54.7454004), (55.9951798, 54.7456501), (55.9946811, 54.7458599), (55.9939886, 54.7461512), (55.993565, 54.7463293), (55.9935161, 54.7463499), (55.993328, 54.746429)]"
улица им. города Галле,"[(55.9977138, 54.7445843), (55.9978363, 54.7444599), (55.9986246, 54.7441571), (55.9987678, 54.7441009), (55.9991955, 54.7439209), (55.9992478, 54.7438948), (56.0000631, 54.7429784), (56.0003493, 54.7427318)]"
улица Бессонова,"[(55.9929612, 54.7400903), (55.993147, 54.7400159), (55.9932734, 54.7399594), (55.9937986, 54.7398977), (55.9945681, 54.7398431), (55.9946882, 54.7398323), (55.9955101, 54.7397428), (55.9965584, 54.7396505)]"
Комсомольская улица,"[(55.9929612, 54.7400903), (55.9931106, 54.7402251), (55.9937751, 54.7408414), (55.9940351, 54.7410826), (55.994372, 54.7413937), (55.9953847, 54.7423293), (55.9957031, 54.7426235), (55.9958931, 54.742799), (55.9963611, 54.7432314), (55.996566, 54.7434194)]"
Комсомольская улица,"[(55.9929612, 54.7400903), (55.9927833, 54.739961), (55.9923175, 54.7395546), (55.9920485, 54.7393237), (55.9913463, 54.7386947), (55.9904598, 54.7379073), (55.989866, 54.7373936), (55.9897596, 54.7373001), (55.9896486, 54.7372131), (55.9894981, 54.7371078)]"
улица Бессонова,"[(55.9929612, 54.7400903), (55.9927511, 54.7401945), (55.9919352, 54.7405381), (55.9906136, 54.7410852), (55.9901397, 54.7412898), (55.9899707, 54.7413589), (55.9894348, 54.741581), (55.9885652, 54.7419446), (55.9881839, 54.7421069), (55.9880229, 54.7421814)]"
улица 8 Марта,"[(55.9706672, 54.7370862), (55.9717143, 54.7369192), (55.9717827, 54.7369102)]"
улица 50-летия Октября,"[(55.9706672, 54.7370862), (55.9708327, 54.7371147), (55.9718627, 54.7372831), (55.9720292, 54.7373123), (55.9720944, 54.7373236), (55.972363, 54.7373626)]"
улица 50-летия Октября,"[(55.9706672, 54.7370862), (55.9705207, 54.7370655), (55.9694751, 54.7368991), (55.9689192, 54.7368041), (55.9671466, 54.7365051), (55.966442, 54.73638), (55.9657127, 54.7362733), (55.965505, 54.7362441), (55.9650439, 54.7361719)]"
улица Кирова,"[(55.9752767, 54.727901), (55.9740661, 54.728104), (55.9729826, 54.7282892), (55.9727531, 54.7283262), (55.9726261, 54.7280511), (55.9723558, 54.7274654)]"
,"[(55.9752767, 54.727901), (55.9761065, 54.7277634), (55.9767876, 54.7276624), (55.9770329, 54.7276237)]"
улица Красина,"[(55.9378278, 54.7329935), (55.9376869, 54.7330166), (55.9373234, 54.7330763), (55.9367069, 54.7331776), (55.9356237, 54.7333556), (55.9350775, 54.7334453), (55.934961, 54.7334645)]"
улица Аксакова,"[(55.9378278, 54.7329935), (55.9377679, 54.7328605), (55.9374535, 54.73216), (55.9372582, 54.7317465), (55.9371934, 54.7315984), (55.9367273, 54.7306456), (55.9366575, 54.7305029)]"
улица Красина,"[(55.9378278, 54.7329935), (55.9378749, 54.7329844), (55.9379225, 54.7329754), (55.9380239, 54.7329562)]"
Коммунистическая улица,"[(55.9296947, 54.7290974), (55.9294624, 54.7291357), (55.9293159, 54.7291601), (55.9284636, 54.7293062)]"
улица Гафури,"[(55.9296947, 54.7290974), (55.9296498, 54.7289922), (55.9292454, 54.7280884), (55.9289021, 54.7273177), (55.9288571, 54.7272265)]"
Коммунистическая улица,"[(55.9296947, 54.7290974), (55.9298932, 54.729063), (55.9302438, 54.7290022), (55.9305805, 54.7289439), (55.9314649, 54.7287907), (55.9316698, 54.7287552), (55.9325867, 54.7285964)]"
